Original Message | Encrypted Message | RSA Factors | n | Classical Shor's Factors | r | a | Qiskit Shor's Factors
teaw | [116, 101, 59, 24] | (13,19) | 247 | (19,13) | 18 | 4 | (13,19)
them | [277, 3, 591, 566] | (23,31) | 713 | (31,23) | 22 | 63 | (23,31)
t4se | [261, 136, 115, 66] | (29,19) | 551 | (19,29) | 252 | 72 | (19,29)
the man jumped | [61, 263, 101, 383, 422, 125, 36, 383, 13, 179, 422, 445, 101, 26] | (17,37) | 629 | (17,37) | 36 | 18 | (17,37)
awesd | [636, 646, 95, 207, 59] | (23,31) | 713 | (23,31) | 330 | 52 | (23,31)
adsa | [184, 237, 20, 184] | (19,13) | 247 | (19,13) | 12 | 58 | (13,19)
asd | [217, 115, 167] | (23,29) | 667 | (23,29) | 308 | 31 | (23,29)
adoisjoi | [436, 417, 185, 265, 361, 540, 185, 265] | (37,17) | 629 | (37,17) | 72 | 2 | (17,37)
the man jumpoed | [129, 195, 17, 2, 70, 15, 41, 2, 45, 143, 70, 99, 180, 17, 120] | (19,13) | 247 | (19,13) | 36 | 67 | (19,13)
thnem as | [116, 302, 297, 200, 241, 153, 185, 115] | (29,11) | 319 | (11,29) | 140 | 3 | (11,29)
themamw | [184, 206, 271, 143, 165, 143, 85] | (17,19) | 323 | (19,17) | 72 | 70 | (19,17)
sef | [102, 381, 152] | (37,11) | 407 | (11,37) | 90 | 58 | (11,37)
aisdi | [251, 6, 247, 232, 6] | (37,11) | 407 | (11,37) | 36 | 89 | (11,37)
esf | [462, 115, 89] | (29,23) | 667 | (23,29) | 308 | 84 | (23,29)
themmm | [116, 568, 280, 158, 158, 158] | (29,23) | 667 | (23,29) | 154 | 64 | (29,23)
thaow | [145, 273, 137, 210, 192] | (11,29) | 319 | (11,29) | 70 | 9 | (11,29)
them | [51, 26, 30, 109] | (13,11) | 143 | (13,11) | 10 | 79 | (11,13)
them | [185, 213, 104, 79] | (19,23) | 437 | (23,19) | 66 | 50 | (19,23)
ads | [224, 12, 69] | (11,23) | 253 | (23,11) | 110 | 2 | (11,23)
oajisdjoi | [67, 15, 204, 52, 69, 243, 204, 67, 52] | (11,23) | 253 | (11,23) | 22 | 67 | (11,23)
awud | [125, 340, 77, 213] | (17,23) | 391 | (23,17) | 44 | 30 | (17,23)
gtaen | [475, 116, 283, 473, 637] | (23,31) | 713 | (23,31) | 330 | 75 | (23,31)
Zdas | [103, 256, 175, 115] | (23,13) | 299 | (23,13) | 44 | 44 | (23,13)
asd | [124, 202, 122] | (29,11) | 319 | (11,29) | 140 | 3 | (11,29)
iasuh | [242, 148, 115, 238, 233] | (23,19) | 437 | (23,19) | 198 | 78 | (19,23)
trhe | [116, 160, 78, 95] | (23,13) | 299 | (23,13) | 132 | 84 | (23,13)
asdsa | [80, 92, 78, 92, 80] | (23,11) | 253 | (23,11) | 22 | 32 | (11,23)
asdas | [71, 141, 100, 71, 141] | (13,11) | 143 | (13,11) | 30 | 68 | (11,13)
lajndn | [114, 37, 72, 11, 133, 11] | (13,11) | 143 | (11,13) | 30 | 82 | (11,13)
aJNS | [273, 74, 78, 83] | (37,11) | 407 | (11,37) | 180 | 61 | (11,37)
aoiusid | [105, 25, 230, 146, 115, 230, 498] | (29,19) | 551 | (19,29) | 126 | 80 | (19,29)
oajs | [370, 384, 167, 67] | (13,37) | 481 | (37,13) | 4 | 73 | (37,13)
iaoio | [22, 343, 348, 22, 348] | (31,17) | 527 | (31,17) | 80 | 95 | (17,31)
ashd | [136, 115, 234, 74] | (13,19) | 247 | (19,13) | 18 | 43 | (19,13)
two of those robbers escaped | [174, 131, 480, 15, 480, 311, 15, 174, 215, 480, 115, 327, 15, 475, 480, 242, 242, 327, 475, 115, 15, 327, 115, 104, 60, 111, 327, 207] | (19,29) | 551 | (19,29) | 126 | 93 | (19,29)
oadw | [138, 41, 93, 17] | (19,17) | 323 | (19,17) | 48 | 11 | (17,19)
